feature	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T48	T49	T50	T51	T52	T53	T54	T55	T57	T58	T59	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T80	T81	T82	T83	T85	T86	T87	T88	T89	T90	T91	T92	T93	T94	T95	T96	T97	T98	T99	T100
S21	0.00146335958320804	0	0.210851345547734	0	0	0.0187511458214387	0.151672143150314	0	0.0985896996240985	0.00068465525914397	0.0224909058226785	0	0	0.011509186073751	0	0.00203302067100333	0.00157727997943832	0	0.0248351669397663	0	0	0.0150652351237704	0	0	0.0168586408955652	0	0.0119284704503386	0	0	0	0	0	0	0	0.00233895307990327	0	0	0.0211165825262096	0.015410670948773	6.02696299390954e-05	0	0	0	0	0	0	0	0	0.00716020985384612	0	0	0.0821078300983458	0	0	0.0327403115459912	0	0	0	0.00141928175596799	0	0	0	0.0234622386342078	0	0	0	0	0	0	0.00491510928225686	0	0	0.00711998287980269	0	0.00421450144855368	0.000839152199898952	0.000838861853099496	3.96719551741143e-05	0	0	0.00153687332593748	0.00260810991077099	0.057760052902183	0	0	0.0531739108028092	0	0	0	0	0	0	0.00529643402878192	0.00103936824490924	0	0	0.0016008681503904
S22	0	0	0	0.175294176633475	0	0.023928432494665	0.0290694175641786	0	0.0342311111374166	0	0	0	0	0.0124762625082116	0	0.00395315060554377	0	0	0	0	0	0	0	0	0.0481939884467881	0	0	0	0	0	0	0	0	0.0229526044697246	0	0	0	0	0	0.030626034036881	0	0	0.088948603008623	0	0	0	0	0.0582061932620585	0.0307876563868414	0	0	0	0	0	0.0948113957691905	0	0	0.102397027355635	0	0	0	0	0	0	0	0	0	0	0	0.0148331023895237	0	0	0	0	0.0361122540956504	0	0	0.0172683852748375	0	0	0.000720731599251427	0	0.0497352906180387	0	0	0	0.0897307429106969	0	0	0	0	0	0.00469604874098584	0	0	0	0
S23	0.0418036364646672	0	1.81464418071918e-05	0	0.0552304544403616	1.69905777270103e-06	0.000145816067376674	0	0.158925007507679	0.00137238223610128	0.0113968087901875	0.0594832839879014	0	0.0064032113035579	0	0.226678577785316	0.000185377457111917	0	0.0157727719601858	0	0	0.000290181267837453	0	0	0.00979280842448722	1.90787512541314e-05	0	0	0.234937759093856	0.008471701318681	0	0	0	0.0759970228782216	0	0	0	0	0.0123124825533981	0	0	0	0.012636817509744	0	0	0.00163431060891944	0	0.000712101538172728	0.00372103863974586	2.80630725213399e-05	0	0	0.000262143632810561	0	0.000429120647762158	0	0	0.00558836569135986	0.0175026555041546	0	0	0	0	0	0	0	0	0	0	0.0029501113109076	0	0	0.00114461054490507	0	0.000481256784068193	6.07141033033144e-05	0	0.000373587478616803	0	0	1.81234406610925e-05	0	0	0	0	0.00858304319084152	0	0	0	0	0	0	0	0.00117313320626244	0	0	0
S24	0	0	0	0	0.0333399653674765	0	0.116121632885237	0	0.0693378571263436	0.152191578834718	0.0086623951447952	0.0036651223036587	0.0240416626907093	8.22895535707389e-05	0	2.65606652453774e-05	0	4.91556396979751e-05	0.00748819028667259	0	0.0811309949478165	0	0	0	0.0231818686962603	0	0	0	0.0123029361756292	0	0	0.0179949732888881	0.0388123349281895	0	0	0.20885522975803	0	0	0	0	0	0	0.0121236911682179	0	0	0	0	0.00321557749922326	0.0619991471864693	0	0	0.00135819299398865	0	0	0.0115760019519883	0	0	0.0259217871894961	0	0.00050265762156916	0.0006374706757992	0	0.00104150061433495	0	0	0	0	0.00673717334005263	0	0.00916972493030935	0	0	0	0	0.00200384732337497	0	0.00623022295634967	0.00295590865572769	0	0.000660628218878115	0	0	0.038386548712437	0	0	0	0	0	0	0	0	0	0.000746301446640914	0	0	0	0.00130077245182368
S25	0	0	0.0378702523352999	0.0172766792877272	0	0.0176112309686409	0.093630455039462	0	0.14224768617117	0.0845304246824255	0.00283009187328912	0.000205908207551799	0	0	0	0.000188825228595111	0	0	0	0	0	0	0	0.00068312330311207	0.0627758888315556	0	0	0	0	0	0	0	0	0	0.0250525949932806	0	0	0	0	0.00208418709523881	0.159171966580419	0	0.100526583272864	0	0	0	0	0	0.00401554424523858	0	0	0	0	0	0.0266148107996371	0	0	0.0696037805923905	0	0	0	0	0.0071274108707137	0	0.00988528884950441	0	0	0	0	0.00653745941663618	0	0	0	0	0.00328984845366292	0	0.00862121758071079	0	0	0	0.00784731163688619	0	0.0165561470910671	0	0	0	0	0	0	0	0	0	0.00645917566617893	0.00432912341213908	0	0	0
S26	0	0	3.46741085605677e-05	0.0802003742734187	0	0.0901066210348345	0.00185474057588035	0	0.0276093183423373	0.0224638549208249	0	0	0	0	0	0.00144093397783544	0	0	0	0	0.137912704015988	0	0	0.00149224299511555	0.183455551799905	0	0	0	0	0	0	0	0	0	0.0385753874777984	0.00203129191825846	0	0	0	0	0.0776621421421882	0	0.0208976339173582	0	0	0	0	0	0.00251426899010275	0	0	0	0	0	0.0205074012529168	0	0	0.0825755527972415	0	0	0	0	0.00029600508859682	0	0	0	0	0	0	0.00579283047049635	0	0	0	0	0.00127121657382155	0	0	0.00203909540088077	0	0	6.10988127846121e-05	0	0.0674577043305995	0	0	0	0	0	0	0	0	0	0.104595352067055	0	0	0	0
S27	0	0	0.0124101468755784	0.00163497351692477	0.00787637677903876	0.016987446808978	0.754612830121276	0	0.0352631988883386	0	0	0	0.000140500180075078	0	0	0.000288303992925873	0	0	0	0	0	0	0	0	0.00296728295427038	0	0	0	0	0	0	0.00760185162892916	0	0	0.0026563193177539	0	0	0	0	0.0077072524437584	0	0	0.00144698664173714	0	0	8.5125160608733e-05	0	0.00100302616853545	0.00115265631428812	0	0	0.00945363337393716	0	0	0.00158663726925478	0	0	0.00101445537199056	0	0	0	0	0.00135577883172404	0	0	0	0	0	0	0.00171840932645246	0	0	0	0	0.000583042469469281	0	0.000237381780678455	0.0253824073191051	0	0	0	0	0.00247083945823762	0	0	0.000450759651830879	0	0	0	0.00177763158334045	0.0289341733917986	0	0	0.00137838965889419	0	0	0.00321750270167364
S28	0	0	0.0587639542903251	0.0216741222090934	0.00921611867614662	0.0160710329573617	0.179402024174123	0	0.398128750050906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111351604801504	0.011123457431181	8.26535140496074e-05	0	0.0926575455320123	0	0	0.0119292434778936	0	7.68558794903987e-05	0	0.00532774465413263	0	0	0	0.0502024378795374	0.0258316310595899	0	0	0.000355098114390048	0	0	9.82089049940184e-05	0	0	0.00689471343336303	0	0	0.00100929579642386	0	0	0.0110247285092879	0	0	0.00885900539161112	0	0	0	0	0.010145750863103	0	0.0198965434108686	0	0	0	0	0.000436645622416642	0	0	0.000909257959557995	0	0.0010615468367024	0	0.00931015813770523	0.000481470229348753	0	0	0.00125955582915409	0	0.0036527956262448	0	0	0.00124138801867561	0	0	0	0.00026150190219987	0	0	0	0	0	0	0
S29	0	0	0.00119395201025312	0.0103802658894385	0.0064863896175914	0.00525081193502729	0.0348666808954926	0.00648210854284956	0.380816394532128	0.00712985315975893	0	0.00022426150443241	0	0	0	0.0647964594007176	0	0	0.00381257992195483	0.0312700730642963	0.0193911225995279	0	0	0	0.0678168309745396	0	0	0	0.0351196308744912	0	0	0	0.011615733446499	0.00241095610941532	0.0213246795449524	0	0.000572555153414884	0	0	0	0	0	0.0466823255429726	0	9.95755799975782e-05	0.000157464600599962	0	0	0.00630371568794518	0	0	0	0	0	0.0223379801009731	0	0	0.129982202726868	0.000766433885174614	0	0	0.00134958018036351	0	0	0.00057023370968608	0	0	0	0	0.000267046369146001	0	0	0	0	0.000191983280140368	0	0	0.00100567436845015	0	0	0.000194061935805401	0	0.0120645869775941	0	0	0	0	0	0	0	0	0.0019457534416305	0	0.00584675271474738	0	0.00782928457672478	0
S30	0.000814297531632155	0	0.00197696179069876	0	0	0.453111524965972	0.0196378676346951	0	0.00527095130421124	0.0692217544242742	0.0108328875775231	0	0	0.0005399116682994	0	0.0150628143091375	0	0	0.000778128988900564	0	0.0655926584995364	0	0	0.0078457936636851	0.00942282012039644	0.000383852148271836	0.00317768521993154	0	0.0570713910304083	0.00071728612176873	0	0	0.0434355806181572	0	0.00128967898087972	0	0	0	0	0	0	0	0	0	0	0	0	0.0409663128423925	0.00419211235206687	0	0	0	0	0	0.00107570022854107	0	0	0.057605630259932	0	0	0	0	0	0	0.00245456439510859	0	0	0	0	0.00240383434624621	0	0	0	0	0.00497767438599496	0	0	0.00041833549244421	0	0	0.0417347496389137	0	0	0	0	0	0	0.000312222071526995	0	0	0	0	0	0.000706316375083639	0	8.15466219094955e-05	0
