feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T82	E1	CRC	-0.0850423740050308	0.17885459586619	128	65	0.635265808582468	0.69809429514557
T31	E1	CRC	0.0809511855711902	0.176827604329686	128	65	0.647886611697235	0.704224577931777
T94	E1	CRC	0.068784128530081	0.179395122515474	128	62	0.702052677808481	0.754895352482237
T14	E1	CRC	-0.0581605462694806	0.157026994756442	128	60	0.711717060471779	0.75714580901253
T86	E1	CRC	0.0560554433254891	0.178722841273753	128	68	0.754309667746318	0.794010176575072
T12	E1	CRC	0.0261763616215321	0.174540071528975	128	70	0.881025434824607	0.90238736421213
T41	E1	CRC	0.0245256655081089	0.168254499398753	128	60	0.884339616927887	0.90238736421213
T67	E1	CRC	-0.0276508108573542	0.178220747368919	128	61	0.876951943364963	0.90238736421213
T52	E1	CRC	-0.00890629485833003	0.174560145148035	128	65	0.959389301021687	0.969080102042108
T57	E1	CRC	-0.00162086515378637	0.179112590436313	128	68	0.992794018027761	0.992794018027761
