feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T95	E1	CRC	0.00143769564578949	0.000785783407866398	107	69	0.0701421544730375	0.30163363276136
T62	E1	CRC	0.00415879598795451	0.00234287605207923	107	83	0.07878206204101	0.303007930926962
T1	E1	CRC	0.0404751806037982	0.0236876643575153	107	100	0.0904604215813059	0.319629987273251
T64	E1	CRC	0.00811831460600402	0.00477116846067952	107	26	0.0918018059850472	0.319629987273251
T76	E1	CRC	-0.0045160578671083	0.00268779080220722	107	49	0.0958889961819753	0.319629987273251
T90	E1	CRC	0.00564116534991326	0.0033542491944356	107	32	0.0955802162499892	0.319629987273251
T22	E1	CRC	0.0130523304278356	0.00826228632417564	107	76	0.117172475013186	0.329756469716547
T25	E1	CRC	0.00701514172929449	0.00443010990812967	107	107	0.116311772267782	0.329756469716547
T30	E1	CRC	0.00524303876363995	0.0033330088558038	107	78	0.118712329097957	0.329756469716547
T47	E1	CRC	0.000850178424907307	0.000538728401089805	107	16	0.117545950491238	0.329756469716547
T58	E1	CRC	0.00224060963071238	0.00140947100059151	107	21	0.114913246693872	0.329756469716547
T91	E1	CRC	-0.0038018900523288	0.00233984631600057	107	32	0.107193461307801	0.329756469716547
T10	E1	CRC	-0.0111302530131032	0.00754143409249796	107	105	0.142968682819784	0.366586366204574
T75	E1	CRC	0.00123436948002006	0.000829750263125491	107	77	0.139842945327036	0.366586366204574
T85	E1	CRC	0.00150479371140017	0.00101016618442299	107	12	0.139314084650508	0.366586366204574
T12	E1	CRC	0.00826682057932554	0.00600913783849358	107	75	0.171839530762212	0.397016989279169
T29	E1	CRC	0.00855400004321793	0.00606382661175322	107	95	0.161300591790064	0.397016989279169
T40	E1	CRC	-0.00459767886990176	0.00339573894221909	107	84	0.178657645175626	0.397016989279169
T66	E1	CRC	-0.00129186395524918	0.000926022130633424	107	24	0.165939236819279	0.397016989279169
T84	E1	CRC	0.00103690771972754	0.000750280467296883	107	14	0.169896571907402	0.397016989279169
T97	E1	CRC	-0.00185953635453067	0.00136134758580092	107	78	0.174872447150771	0.397016989279169
T16	E1	CRC	-0.018421443726168	0.0149462683218961	107	98	0.220510790351956	0.421258931083994
T35	E1	CRC	-0.00357450787573164	0.00288832112239276	107	106	0.218634815510143	0.421258931083994
T44	E1	CRC	0.000871883169112702	0.000711665550034415	107	19	0.223267233474517	0.421258931083994
T50	E1	CRC	-0.00387043514275345	0.00297665612286776	107	104	0.196357792610315	0.421258931083994
T70	E1	CRC	-0.00103821089136127	0.000839704692857575	107	17	0.219068471415547	0.421258931083994
